genero,idade,peso,percentual_de_gordura,imc,classificacao_imc,tipo_de_dieta,tipo_de_treino,frequencia_de_treino_semanal,nivel_de_experiencia
Masculino,34,65.3,26.8,24.87,Peso Normal,Vegana,Força,3,Intermediário
Feminino,23,56.4,27.7,23.48,Peso Normal,Vegetariana,HIIT,4,Intermediário
Feminino,33,59.0,24.3,21.15,Peso Normal,Paleolítica,Cardio,2,Iniciante
Feminino,38,93.8,32.8,32.45,Obesidade Grau I,Paleolítica,HIIT,3,Iniciante
Masculino,45,52.4,17.3,14.83,Abaixo do Peso,Vegana,Força,4,Intermediário
Feminino,53,105.0,32.0,31.03,Obesidade Grau I,Cetogênica,Yoga,3,Iniciante
Masculino,23,58.4,20.5,18.44,Abaixo do Peso,Baixo Carboidrato,Força,4,Avançado
Feminino,55,84.1,32.1,31.64,Obesidade Grau I,Baixo Carboidrato,Yoga,3,Intermediário
Feminino,24,88.6,27.4,27.65,Sobrepeso,Vegana,Força,4,Avançado
Feminino,39,50.3,21.9,19.66,Peso Normal,Paleolítica,Força,2,Iniciante
Masculino,50,86.4,29.1,32.51,Obesidade Grau I,Cetogênica,Força,4,Intermediário
Feminino,47,83.9,23.6,25.33,Sobrepeso,Cetogênica,HIIT,5,Avançado
Masculino,19,82.7,24.1,21.52,Peso Normal,Vegana,HIIT,5,Intermediário
Feminino,38,57.7,26.6,23.7,Peso Normal,Baixo Carboidrato,HIIT,5,Avançado
Feminino,27,71.8,24.5,18.5,Peso Normal,Baixo Carboidrato,Força,3,Iniciante
Feminino,18,95.1,28.0,27.79,Sobrepeso,Paleolítica,Força,4,Iniciante
Masculino,40,56.9,21.8,19.45,Peso Normal,Paleolítica,Força,5,Avançado
Masculino,37,76.5,30.3,24.41,Peso Normal,Baixo Carboidrato,Cardio,4,Intermediário
Masculino,18,72.6,26.4,22.65,Peso Normal,Vegetariana,Força,2,Iniciante
Masculino,46,60.0,21.8,21.28,Peso Normal,Vegetariana,HIIT,4,Intermediário
Feminino,37,73.0,25.8,24.12,Peso Normal,Vegana,Força,3,Intermediário
Feminino,50,86.7,29.1,32.64,Obesidade Grau I,Balanceada,Yoga,4,Avançado
Feminino,30,76.8,29.3,26.25,Sobrepeso,Paleolítica,Cardio,3,Iniciante
Feminino,24,88.3,26.8,27.56,Sobrepeso,Cetogênica,Cardio,4,Avançado
Masculino,50,57.0,22.4,15.63,Abaixo do Peso,Cetogênica,Força,3,Intermediário
Feminino,54,87.2,28.4,28.16,Sobrepeso,Cetogênica,Yoga,3,Intermediário
Feminino,25,105.4,30.9,29.83,Sobrepeso,Balanceada,Cardio,2,Intermediário
Masculino,39,102.3,32.5,27.19,Sobrepeso,Vegana,Cardio,3,Iniciante
Feminino,44,89.6,23.1,22.63,Peso Normal,Paleolítica,HIIT,4,Intermediário
Masculino,18,58.6,24.5,22.59,Peso Normal,Baixo Carboidrato,Força,3,Avançado
Feminino,57,76.9,29.4,22.23,Peso Normal,Vegetariana,Yoga,3,Iniciante
Masculino,49,52.6,14.8,15.53,Abaixo do Peso,Paleolítica,Cardio,4,Intermediário
Masculino,31,126.5,35.0,37.78,Obesidade Grau II,Cetogênica,Yoga,2,Iniciante
Masculino,41,59.7,19.4,19.73,Peso Normal,Paleolítica,HIIT,5,Avançado
Masculino,37,76.6,22.6,23.12,Peso Normal,Balanceada,Yoga,3,Intermediário
Masculino,39,80.0,28.8,25.82,Sobrepeso,Cetogênica,Força,5,Intermediário
Feminino,25,127.6,35.0,42.62,Obesidade Grau III,Baixo Carboidrato,HIIT,3,Iniciante
Feminino,58,57.0,23.6,19.71,Peso Normal,Baixo Carboidrato,HIIT,1,Iniciante
Feminino,48,56.5,28.5,24.79,Peso Normal,Paleolítica,Cardio,3,Iniciante
Masculino,27,88.2,21.0,22.5,Peso Normal,Vegana,HIIT,4,Avançado
Masculino,40,51.7,23.7,19.95,Peso Normal,Cetogênica,Yoga,1,Iniciante
Feminino,41,77.0,25.8,24.05,Peso Normal,Paleolítica,HIIT,4,Intermediário
Feminino,52,51.9,22.1,18.62,Peso Normal,Paleolítica,HIIT,1,Iniciante
Feminino,36,109.9,33.4,35.07,Obesidade Grau II,Vegetariana,Yoga,1,Iniciante
Masculino,33,102.8,29.9,33.58,Obesidade Grau I,Balanceada,Yoga,3,Iniciante
Feminino,37,88.6,29.6,27.67,Sobrepeso,Balanceada,HIIT,5,Avançado
Feminino,21,80.8,22.7,22.38,Peso Normal,Paleolítica,HIIT,4,Avançado
Feminino,25,70.5,30.9,31.35,Obesidade Grau I,Paleolítica,Cardio,1,Iniciante
Masculino,40,54.7,22.6,21.11,Peso Normal,Balanceada,Yoga,3,Avançado
Masculino,32,52.8,23.6,19.14,Peso Normal,Vegetariana,Força,2,Iniciante
Feminino,52,84.4,26.9,27.23,Sobrepeso,Paleolítica,Yoga,5,Intermediário
Feminino,58,59.7,21.5,19.26,Peso Normal,Vegetariana,Cardio,5,Intermediário
Feminino,52,60.0,21.9,20.51,Peso Normal,Vegana,HIIT,2,Iniciante
Feminino,30,76.8,29.0,29.28,Sobrepeso,Balanceada,Yoga,3,Iniciante
Masculino,29,58.4,27.5,22.54,Peso Normal,Balanceada,Força,2,Intermediário
Feminino,39,71.3,24.0,20.18,Peso Normal,Baixo Carboidrato,HIIT,1,Iniciante
Masculino,39,55.6,20.4,19.01,Peso Normal,Vegetariana,Cardio,5,Avançado
Feminino,38,44.9,20.7,15.91,Abaixo do Peso,Vegana,Força,2,Intermediário
Feminino,26,59.2,25.0,25.97,Sobrepeso,Paleolítica,HIIT,4,Avançado
Masculino,26,87.7,29.9,33.0,Obesidade Grau I,Balanceada,Força,4,Avançado
Masculino,45,63.6,29.0,26.83,Sobrepeso,Vegetariana,Cardio,3,Avançado
Feminino,58,109.5,30.7,30.03,Obesidade Grau I,Vegana,Yoga,3,Intermediário
Feminino,56,125.9,35.0,36.39,Obesidade Grau II,Baixo Carboidrato,Cardio,3,Intermediário
Feminino,50,70.3,29.3,24.91,Obesidade Grau III,Balanceada,Força,1,Iniciante
Masculino,56,85.6,28.6,29.96,Obesidade Grau III,Cetogênica,Cardio,5,Avançado
Feminino,33,64.4,22.7,20.32,Peso Normal,Vegetariana,Força,4,Intermediário
Masculino,18,60.5,27.3,23.93,Peso Normal,Balanceada,Cardio,2,Iniciante
Feminino,28,69.1,28.5,27.69,Sobrepeso,Vegana,Yoga,2,Intermediário
Masculino,31,97.5,26.5,25.38,Sobrepeso,Cetogênica,Força,3,Iniciante
Masculino,38,86.0,28.1,25.95,Sobrepeso,Cetogênica,HIIT,5,Avançado
Masculino,36,56.0,28.4,22.72,Peso Normal,Baixo Carboidrato,Força,2,Iniciante
Masculino,52,47.7,19.1,15.4,Abaixo do Peso,Vegana,HIIT,3,Intermediário
Feminino,18,64.0,26.8,24.09,Peso Normal,Vegana,Cardio,3,Iniciante
Feminino,18,62.4,26.6,24.69,Peso Normal,Cetogênica,Cardio,4,Intermediário
Feminino,43,42.2,21.1,15.3,Abaixo do Peso,Cetogênica,Yoga,2,Iniciante
Masculino,30,87.2,29.4,30.54,Obesidade Grau I,Baixo Carboidrato,Cardio,4,Avançado
Masculino,36,76.2,26.7,22.99,Peso Normal,Vegana,Cardio,3,Intermediário
Feminino,18,127.9,32.1,34.7,Obesidade Grau I,Paleolítica,Cardio,3,Intermediário
Masculino,24,58.8,23.0,18.99,Peso Normal,Vegetariana,Yoga,3,Iniciante
Feminino,41,82.2,30.3,29.82,Sobrepeso,Vegana,Cardio,4,Avançado
Feminino,42,60.3,20.9,19.92,Peso Normal,Cetogênica,Força,5,Avançado
Masculino,28,79.5,32.4,31.45,Obesidade Grau I,Paleolítica,HIIT,3,Iniciante
Feminino,53,55.7,23.8,23.18,Peso Normal,Vegetariana,Yoga,3,Intermediário
Masculino,43,66.6,20.6,19.47,Peso Normal,Paleolítica,Cardio,1,Iniciante
Masculino,26,103.9,34.3,36.81,Obesidade Grau II,Balanceada,Cardio,3,Intermediário
Masculino,43,82.5,26.2,21.7,Peso Normal,Vegana,Força,5,Intermediário
Feminino,40,63.0,28.8,26.91,Sobrepeso,Baixo Carboidrato,Yoga,5,Avançado
Masculino,41,43.6,18.6,13.9,Abaixo do Peso,Cetogênica,Yoga,3,Iniciante
Masculino,19,73.2,21.1,22.84,Peso Normal,Vegetariana,Yoga,2,Iniciante
Masculino,30,51.8,24.9,17.1,Abaixo do Peso,Balanceada,Yoga,3,Intermediário
Feminino,51,70.9,27.3,23.97,Peso Normal,Cetogênica,HIIT,3,Intermediário
Feminino,32,62.2,25.8,23.41,Peso Normal,Paleolítica,HIIT,5,Intermediário
Feminino,21,51.2,24.9,20.27,Peso Normal,Paleolítica,Força,3,Intermediário
Feminino,45,51.4,23.6,18.87,Peso Normal,Vegana,Cardio,2,Iniciante
Masculino,34,66.4,26.6,25.29,Sobrepeso,Balanceada,Força,2,Iniciante
Masculino,58,109.1,27.8,29.9,Sobrepeso,Paleolítica,Yoga,3,Intermediário
Masculino,45,48.5,26.8,18.03,Abaixo do Peso,Baixo Carboidrato,Força,4,Intermediário
Feminino,25,64.4,21.4,22.02,Peso Normal,Paleolítica,HIIT,3,Iniciante
Feminino,37,54.6,27.0,22.16,Peso Normal,Vegana,Força,3,Iniciante
Feminino,54,50.3,24.8,19.41,Peso Normal,Baixo Carboidrato,HIIT,1,Iniciante
