genero,idade,peso,percentual_de_gordura,imc,tipo_de_dieta,tipo_de_treino,frequencia_de_treino_semanal,nivel_de_experiencia
Masculino,34,65.3,26.8,24.87,Vegana,Força,3,Intermediário
Feminino,23,56.4,27.7,23.48,Vegetariana,HIIT,4,Intermediário
Feminino,33,59.0,24.3,21.15,Paleolítica,Cardio,2,Iniciante
Feminino,38,93.8,32.8,32.45,Paleolítica,HIIT,3,Iniciante
Masculino,45,52.4,17.3,14.83,Vegana,Força,4,Intermediário
Feminino,53,105.0,32.0,31.03,Cetogênica,Yoga,3,Iniciante
Masculino,23,58.4,20.5,18.44,Baixo Carboidrato,Força,4,Avançado
Feminino,55,84.1,32.1,31.64,Baixo Carboidrato,Yoga,3,Intermediário
Feminino,24,88.6,27.4,27.65,Vegana,Força,4,Avançado
Feminino,39,50.3,21.9,19.66,Paleolítica,Força,2,Iniciante
Masculino,50,86.4,29.1,32.51,Cetogênica,Força,4,Intermediário
Feminino,47,83.9,23.6,25.33,Cetogênica,HIIT,5,Avançado
Masculino,19,82.7,24.1,21.52,Vegana,HIIT,5,Intermediário
Feminino,38,57.7,26.6,23.7,Baixo Carboidrato,HIIT,5,Avançado
Feminino,27,71.8,24.5,18.5,Baixo Carboidrato,Força,3,Iniciante
Feminino,18,95.1,28.0,27.79,Paleolítica,Força,4,Iniciante
Masculino,40,56.9,21.8,19.45,Paleolítica,Força,5,Avançado
Masculino,37,76.5,30.3,24.41,Baixo Carboidrato,Cardio,4,Intermediário
Masculino,18,72.6,26.4,22.65,Vegetariana,Força,2,Iniciante
Masculino,46,60.0,21.8,21.28,Vegetariana,HIIT,4,Intermediário
Feminino,37,73.0,25.8,24.12,Vegana,Força,3,Intermediário
Feminino,50,86.7,29.1,32.64,Balanceada,Yoga,4,Avançado
Feminino,30,76.8,29.3,26.25,Paleolítica,Cardio,3,Iniciante
Feminino,24,88.3,26.8,27.56,Cetogênica,Cardio,4,Avançado
Masculino,50,57.0,22.4,15.63,Cetogênica,Força,3,Intermediário
Feminino,54,87.2,28.4,28.16,Cetogênica,Yoga,3,Intermediário
Feminino,25,105.4,30.9,29.83,Balanceada,Cardio,2,Intermediário
Masculino,39,102.3,32.5,27.19,Vegana,Cardio,3,Iniciante
Feminino,44,89.6,23.1,22.63,Paleolítica,HIIT,4,Intermediário
Masculino,18,58.6,24.5,22.59,Baixo Carboidrato,Força,3,Avançado
Feminino,57,76.9,29.4,22.23,Vegetariana,Yoga,3,Iniciante
Masculino,49,52.6,14.8,15.53,Paleolítica,Cardio,4,Intermediário
Masculino,31,126.5,35.0,37.78,Cetogênica,Yoga,2,Iniciante
Masculino,41,59.7,19.4,19.73,Paleolítica,HIIT,5,Avançado
Masculino,37,76.6,22.6,23.12,Balanceada,Yoga,3,Intermediário
Masculino,39,80.0,28.8,25.82,Cetogênica,Força,5,Intermediário
Feminino,25,127.6,35.0,42.62,Baixo Carboidrato,HIIT,3,Iniciante
Feminino,58,57.0,23.6,19.71,Baixo Carboidrato,HIIT,1,Iniciante
Feminino,48,56.5,28.5,24.79,Paleolítica,Cardio,3,Iniciante
Masculino,27,88.2,21.0,22.5,Vegana,HIIT,4,Avançado
Masculino,40,51.7,23.7,19.95,Cetogênica,Yoga,1,Iniciante
Feminino,41,77.0,25.8,24.05,Paleolítica,HIIT,4,Intermediário
Feminino,52,51.9,22.1,18.62,Paleolítica,HIIT,1,Iniciante
Feminino,36,109.9,33.4,35.07,Vegetariana,Yoga,1,Iniciante
Masculino,33,102.8,29.9,33.58,Balanceada,Yoga,3,Iniciante
Feminino,37,88.6,29.6,27.67,Balanceada,HIIT,5,Avançado
Feminino,21,80.8,22.7,22.38,Paleolítica,HIIT,4,Avançado
Feminino,25,70.5,30.9,31.35,Paleolítica,Cardio,1,Iniciante
Masculino,40,54.7,22.6,21.11,Balanceada,Yoga,3,Avançado
Masculino,32,52.8,23.6,19.14,Vegetariana,Força,2,Iniciante
Feminino,52,84.4,26.9,27.23,Paleolítica,Yoga,5,Intermediário
